산업,산업2,광고제목,광고부제목,날짜,링크
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,[갤럭시 S22 배워보기] 자유자재 만능 S펜,2022.02.10,https://play.tvcf.co.kr/859924
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,Galaxy S22 프리오더,2022.02.10,https://play.tvcf.co.kr/859914
정보통신,휴대폰/통신기기,KT 신비키즈폰 2,부모님 이제 마음 푹 놓고 안심하세요!,2022.02.08,https://play.tvcf.co.kr/859585
정보통신,휴대폰/통신기기,삼성전자,HAPPY 나답게 YEAR_Z 플립3,2022.01.07,https://play.tvcf.co.kr/856267
정보통신,휴대폰/통신기기,애플워치 7,긴급구조요청,2022.01.05,https://play.tvcf.co.kr/855551
정보통신,휴대폰/통신기기,애플워치 7,차량전복,2022.01.03,https://play.tvcf.co.kr/855492
정보통신,휴대폰/통신기기,DIGICO KT AI 서비스로봇,"서비스의 중심에서 후니를 외치다!""KT AI 서비스로봇""[프로N잡러 로봇후니]",2021.12.21,https://play.tvcf.co.kr/854388
정보통신,휴대폰/통신기기,DIGICO KT AI 케어로봇,"케어하라고 보냈는데, 케미 폭발하면 어떡해!?“ KT AI 케어로봇” [프로N잡러 로봇후니]",2021.12.21,https://play.tvcf.co.kr/854387
정보통신,휴대폰/통신기기,에어팟,더욱 새로워진 에어팟,2021.12.15,https://play.tvcf.co.kr/853972
정보통신,휴대폰/통신기기,아이폰 13 Pro,일 년만에 함께하는 반가운 시간,2021.12.12,https://play.tvcf.co.kr/853577
정보통신,휴대폰/통신기기,LG ThinQ,All About ThinQ #07 “Just check it out” | Smart Diagnosis,2021.12.06,https://play.tvcf.co.kr/852737
정보통신,휴대폰/통신기기,LG ThinQ,All About ThinQ #12 “Little Chef” | Scan to Cook,2021.12.06,https://play.tvcf.co.kr/852736
정보통신,휴대폰/통신기기,LG ThinQ,All About ThinQ #02 “Bigger Love” | Magic Tab,2021.12.06,https://play.tvcf.co.kr/852735
정보통신,휴대폰/통신기기,아이폰 13,"괜찮아요, 아이폰 13이니까",2021.11.08,https://play.tvcf.co.kr/849285
정보통신,휴대폰/통신기기,삼성 갤럭시 Z 플립3,나를. 새로. 활짝. - 팬스토리,2021.11.05,https://play.tvcf.co.kr/848961
정보통신,휴대폰/통신기기,삼성 갤럭시 Z 플립3,나를. 새로. 활짝. - 팬스토리 #둠칫둠칫 #콩닥콩닥 #ZZZZ,2021.11.05,https://play.tvcf.co.kr/848959
정보통신,휴대폰/통신기기,삼성 갤럭시 Z 플립3,나를. 새로. 활짝. - 팬스토리 #각양각색#우리끼리#알록달록#뿜뿜,2021.11.05,https://play.tvcf.co.kr/848956
정보통신,휴대폰/통신기기,애플워치 7,"건강의 미래, 이미 손목 위에_질문",2021.11.02,https://play.tvcf.co.kr/848265
정보통신,휴대폰/통신기기,삼성 갤럭시 Z 플립3,나를. 새로. 활짝. - 갤럭시도 나답게,2021.10.31,https://play.tvcf.co.kr/847888
정보통신,휴대폰/통신기기,삼성 갤럭시 Z 폴드3,나를 새로 활짝_슥슥,2021.10.18,https://play.tvcf.co.kr/846595
정보통신,휴대폰/통신기기,삼성 갤럭시 Z 플립3,나를. 새로. 활짝. - 훨훨,2021.10.08,https://play.tvcf.co.kr/845317
